19995,en,English
19995,es,Espa\u00f1ol
285,en,English
206647,fr,Fran\u00e7ais
206647,en,English
206647,es,Espa\u00f1ol
206647,it,Italiano
206647,de,Deutsch
49026,en,English
49529,en,English
559,en,English
559,fr,Fran\u00e7ais
38757,en,English
99861,en,English
767,en,English
209112,en,English
1452,en,English
1452,fr,Fran\u00e7ais
1452,de,Deutsch
10764,en,English
10764,es,Espa\u00f1ol
10764,it,Italiano
10764,fr,Fran\u00e7ais
10764,de,Deutsch
58,en,English
58,tr,T\u00fcrk\u00e7e
58,el,\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac
58,zh,\u666e\u901a\u8bdd
57201,en,English
49521,en,English
2454,en,English
24428,en,English
1865,en,English
1865,es,Espa\u00f1ol
41154,en,English
122917,en,English
1930,en,English
20662,en,English
20662,th,\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22
57158,en,English
2268,is,\u00cdslenska
2268,en,English
2268,ru,P\u0443\u0441\u0441\u043a\u0438\u0439
2268,fr,Fran\u00e7ais
254,en,English
597,en,English
597,fr,Fran\u00e7ais
597,de,Deutsch
597,sv,svenska
597,it,Italiano
597,ru,P\u0443\u0441\u0441\u043a\u0438\u0439
271110,ro,Rom\u00e2n\u0103
271110,en,English
271110,de,Deutsch
271110,ru,P\u0443\u0441\u0441\u043a\u0438\u0439
44833,en,English
44833,th,\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22
135397,en,English
37724,en,English
558,en,English
558,ru,P\u0443\u0441\u0441\u043a\u0438\u0439
558,zh,\u666e\u901a\u8bdd
68721,en,English
12155,en,English
36668,en,English
62211,en,English
8373,en,English
8373,es,Espa\u00f1ol
91314,en,English
68728,en,English
102382,en,English
20526,en,English
49013,en,English
49013,ja,\u65e5\u672c\u8a9e
49013,it,Italiano
49013,fr,Fran\u00e7ais
44912,en,English
10193,en,English
10193,es,Espa\u00f1ol
534,en,English
534,it,Italiano
168259,en,English
72190,en,English
127585,en,English
54138,en,English
81005,en,English
64682,en,English
9543,en,English
